timestamp,stage,treating_pressure_psi,casing_pressure_psi,hydrostatic_pressure_psi,stage_proppant,stage_clean_volume,stage_slurry_volume,clean_rate_bpm,slurry_rate_bpm,borehole_concentration,borehole_density,pump_rate_bpm,sand_concentration_ppg,proppant_lb_per_min,temperature_f,friction_factor,hydraulic_horsepower,fluid_phase,gel_rate,gel_viscosity,gel_ph,liquid_additive_1,liquid_additive_1_conc,liquid_additive_1_vol,liquid_additive_2,liquid_additive_2_conc,liquid_additive_2_vol,liquid_additive_3,liquid_additive_3_conc,liquid_additive_3_vol,event_flag
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,slurry,2.98,24.2,7.31,FR,0.74,58,BI,0.12,23,CI,0.07,17,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,pad,1.7,40.2,7.21,FR,0.45,54,BI,0.21,16,CI,0.17,8,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,pad,2.55,28.7,7.31,FR,0.76,55,BI,0.14,25,CI,0.07,15,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,pad,2.86,30.6,6.93,FR,0.58,57,BI,0.2,26,CI,0.18,5,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,pad,2.12,35,6.81,FR,0.63,86,BI,0.23,19,CI,0.09,15,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,slurry,1.72,42,6.82,FR,0.53,109,BI,0.21,27,CI,0.11,18,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,pad,2.93,31.6,7.2,FR,0.72,105,BI,0.29,29,CI,0.07,10,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,pad,2.8,35.3,7.48,FR,0.61,66,BI,0.27,37,CI,0.1,8,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,flush,2.59,25.3,7.42,FR,0.57,61,BI,0.16,38,CI,0.14,18,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,flush,2.95,35.8,6.67,FR,0.74,89,BI,0.2,27,CI,0.19,17,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,pad,1.58,28.8,6.95,FR,0.38,95,BI,0.17,26,CI,0.13,18,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,slurry,1.52,43.7,6.84,FR,0.52,114,BI,0.25,10,CI,0.14,13,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,pad,1.67,28.5,6.76,FR,0.68,80,BI,0.26,10,CI,0.11,6,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,flush,2.79,44.3,6.97,FR,0.79,86,BI,0.18,24,CI,0.13,20,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,pad,1.85,36.6,7.34,FR,0.5,113,BI,0.11,18,CI,0.12,18,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,slurry,2.89,23.9,7.1,FR,0.52,92,BI,0.11,17,CI,0.15,7,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,slurry,1.78,32.4,7.37,FR,0.65,52,BI,0.21,39,CI,0.16,9,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,slurry,2.75,37.4,6.93,FR,0.63,72,BI,0.13,20,CI,0.1,15,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,slurry,1.82,32.3,7.01,FR,0.32,77,BI,0.26,34,CI,0.07,20,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,slurry,1.65,38.7,6.68,FR,0.36,95,BI,0.14,32,CI,0.09,13,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,pad,1.92,31.2,7.2,FR,0.68,59,BI,0.23,30,CI,0.09,17,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,slurry,2.73,40.7,7.09,FR,0.57,97,BI,0.19,29,CI,0.12,13,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,pad,2.01,31.4,7.31,FR,0.44,89,BI,0.19,19,CI,0.11,18,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,slurry,2.6,28.6,6.65,FR,0.47,78,BI,0.26,26,CI,0.14,19,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,slurry,1.77,25.5,7.42,FR,0.63,111,BI,0.18,16,CI,0.16,8,start treatment
1/1/2026 6:00,1,6500,1170,514.8,12000,15000,18000,18,12,0,8.4,30,0,0,181.7,0.6,113,slurry,1.68,35.5,6.69,FR,0.7,88,BI,0.18,29,CI,0.12,7,start treatment
